Sending Timestamp,Response Timestamp,Latency (ms),Payload Size,Response
2025-01-07T12:28:23.594171Z,2025-01-07T12:28:23.658661Z,32.245000000000005,2579,"{'sent_time': '2025-01-07T12:28:23.594171Z', 'droneId': '813206699075', 'received_time': '2025-01-07T12:28:24.514560Z'}"
2025-01-07T12:28:24.596282Z,2025-01-07T12:28:24.662712Z,33.215,2580,"{'sent_time': '2025-01-07T12:28:24.596282Z', 'droneId': '681516487630', 'received_time': '2025-01-07T12:28:25.516985Z'}"
2025-01-07T12:28:25.598412Z,2025-01-07T12:28:25.663884Z,32.736000000000004,2579,"{'sent_time': '2025-01-07T12:28:25.598412Z', 'droneId': '122988076269', 'received_time': '2025-01-07T12:28:26.519461Z'}"
2025-01-07T12:28:26.600774Z,2025-01-07T12:28:26.667817Z,33.5215,2578,"{'sent_time': '2025-01-07T12:28:26.600774Z', 'droneId': '266915053137', 'received_time': '2025-01-07T12:28:27.521437Z'}"
2025-01-07T12:28:27.602926Z,2025-01-07T12:28:27.664937Z,31.005499999999998,2579,"{'sent_time': '2025-01-07T12:28:27.602926Z', 'droneId': '667985690751', 'received_time': '2025-01-07T12:28:28.523956Z'}"
2025-01-07T12:28:28.605839Z,2025-01-07T12:28:28.670696Z,32.4285,2578,"{'sent_time': '2025-01-07T12:28:28.605839Z', 'droneId': '284629402561', 'received_time': '2025-01-07T12:28:29.526257Z'}"
2025-01-07T12:28:29.607690Z,2025-01-07T12:28:29.669877Z,31.0935,2579,"{'sent_time': '2025-01-07T12:28:29.607690Z', 'droneId': '699189192867', 'received_time': '2025-01-07T12:28:30.528322Z'}"
2025-01-07T12:28:30.609738Z,2025-01-07T12:28:31.506312Z,448.287,2579,"{'sent_time': '2025-01-07T12:28:30.609738Z', 'droneId': '536141830588', 'received_time': '2025-01-07T12:28:32.364386Z'}"
2025-01-07T12:28:31.612970Z,2025-01-07T12:28:31.676544Z,31.787000000000003,2578,"{'sent_time': '2025-01-07T12:28:31.612970Z', 'droneId': '883876354624', 'received_time': '2025-01-07T12:28:32.533839Z'}"
2025-01-07T12:28:32.615411Z,2025-01-07T12:28:32.673055Z,28.822,2579,"{'sent_time': '2025-01-07T12:28:32.615411Z', 'droneId': '897515527638', 'received_time': '2025-01-07T12:28:33.535751Z'}"
2025-01-07T12:28:33.617630Z,2025-01-07T12:28:33.680784Z,31.577,2579,"{'sent_time': '2025-01-07T12:28:33.617630Z', 'droneId': '769742037022', 'received_time': '2025-01-07T12:28:34.538600Z'}"
2025-01-07T12:28:34.620396Z,2025-01-07T12:28:34.684236Z,31.919999999999998,2580,"{'sent_time': '2025-01-07T12:28:34.620396Z', 'droneId': '786107505102', 'received_time': '2025-01-07T12:28:35.541318Z'}"
2025-01-07T12:28:35.623477Z,2025-01-07T12:28:35.687897Z,32.21,2579,"{'sent_time': '2025-01-07T12:28:35.623477Z', 'droneId': '277745874619', 'received_time': '2025-01-07T12:28:36.544222Z'}"
2025-01-07T12:28:36.626173Z,2025-01-07T12:28:36.687427Z,30.627000000000002,2578,"{'sent_time': '2025-01-07T12:28:36.626173Z', 'droneId': '213086904819', 'received_time': '2025-01-07T12:28:37.546582Z'}"
2025-01-07T12:28:37.628491Z,2025-01-07T12:28:37.695292Z,33.4005,2579,"{'sent_time': '2025-01-07T12:28:37.628491Z', 'droneId': '439846985652', 'received_time': '2025-01-07T12:28:38.549391Z'}"
2025-01-07T12:28:38.631329Z,2025-01-07T12:28:38.693738Z,31.2045,2579,"{'sent_time': '2025-01-07T12:28:38.631329Z', 'droneId': '202306797932', 'received_time': '2025-01-07T12:28:39.552533Z'}"
2025-01-07T12:28:39.634190Z,2025-01-07T12:28:39.696335Z,31.072499999999998,2580,"{'sent_time': '2025-01-07T12:28:39.634190Z', 'droneId': '625827020757', 'received_time': '2025-01-07T12:28:40.554246Z'}"
2025-01-07T12:28:40.635742Z,2025-01-07T12:28:40.696078Z,30.168,2579,"{'sent_time': '2025-01-07T12:28:40.635742Z', 'droneId': '903078944202', 'received_time': '2025-01-07T12:28:41.556186Z'}"
2025-01-07T12:28:41.637846Z,2025-01-07T12:28:41.700551Z,31.3525,2578,"{'sent_time': '2025-01-07T12:28:41.637846Z', 'droneId': '493275816134', 'received_time': '2025-01-07T12:28:42.558076Z'}"
2025-01-07T12:28:42.639723Z,2025-01-07T12:28:42.703729Z,32.003,2578,"{'sent_time': '2025-01-07T12:28:42.639723Z', 'droneId': '568692035644', 'received_time': '2025-01-07T12:28:43.560679Z'}"
2025-01-07T12:28:43.642151Z,2025-01-07T12:28:43.703294Z,30.5715,2580,"{'sent_time': '2025-01-07T12:28:43.642151Z', 'droneId': '463829915075', 'received_time': '2025-01-07T12:28:44.562575Z'}"
2025-01-07T12:28:44.644607Z,2025-01-07T12:28:44.708373Z,31.883000000000003,2580,"{'sent_time': '2025-01-07T12:28:44.644607Z', 'droneId': '265356920424', 'received_time': '2025-01-07T12:28:45.565270Z'}"
2025-01-07T12:28:45.646817Z,2025-01-07T12:28:45.706272Z,29.7275,2580,"{'sent_time': '2025-01-07T12:28:45.646817Z', 'droneId': '386111842280', 'received_time': '2025-01-07T12:28:46.567123Z'}"
2025-01-07T12:28:46.648822Z,2025-01-07T12:28:46.711725Z,31.4515,2577,"{'sent_time': '2025-01-07T12:28:46.648822Z', 'droneId': '736721833789', 'received_time': '2025-01-07T12:28:47.568960Z'}"
2025-01-07T12:28:47.650301Z,2025-01-07T12:28:47.710458Z,30.078500000000002,2581,"{'sent_time': '2025-01-07T12:28:47.650301Z', 'droneId': '902783943350', 'received_time': '2025-01-07T12:28:48.570676Z'}"
