Sending Timestamp,Response Timestamp,Latency (ms),Payload Size,Response
2025-01-07T12:33:24.341843Z,2025-01-07T12:33:24.406306Z,32.231500000000004,4878,"{'sent_time': '2025-01-07T12:33:24.341843Z', 'droneId': '392987948361', 'received_time': '2025-01-07T12:33:25.264907Z'}"
2025-01-07T12:33:24.846541Z,2025-01-07T12:33:24.905863Z,29.661,4879,"{'sent_time': '2025-01-07T12:33:24.846541Z', 'droneId': '216625990393', 'received_time': '2025-01-07T12:33:25.763966Z'}"
2025-01-07T12:33:25.349360Z,2025-01-07T12:33:25.416607Z,33.6235,4880,"{'sent_time': '2025-01-07T12:33:25.349360Z', 'droneId': '492454630610', 'received_time': '2025-01-07T12:33:26.267436Z'}"
2025-01-07T12:33:25.852248Z,2025-01-07T12:33:25.917808Z,32.779999999999994,4879,"{'sent_time': '2025-01-07T12:33:25.852248Z', 'droneId': '470191375552', 'received_time': '2025-01-07T12:33:26.769619Z'}"
2025-01-07T12:33:26.354547Z,2025-01-07T12:33:26.415205Z,30.328999999999997,4880,"{'sent_time': '2025-01-07T12:33:26.354547Z', 'droneId': '253403455321', 'received_time': '2025-01-07T12:33:27.271564Z'}"
2025-01-07T12:33:26.856743Z,2025-01-07T12:33:26.918625Z,30.941,4879,"{'sent_time': '2025-01-07T12:33:26.856743Z', 'droneId': '276106700177', 'received_time': '2025-01-07T12:33:27.774129Z'}"
2025-01-07T12:33:27.359133Z,2025-01-07T12:33:27.424722Z,32.7945,4879,"{'sent_time': '2025-01-07T12:33:27.359133Z', 'droneId': '863988671277', 'received_time': '2025-01-07T12:33:28.276526Z'}"
2025-01-07T12:33:27.861311Z,2025-01-07T12:33:27.925382Z,32.0355,4879,"{'sent_time': '2025-01-07T12:33:27.861311Z', 'droneId': '194706681817', 'received_time': '2025-01-07T12:33:28.777910Z'}"
2025-01-07T12:33:28.362332Z,2025-01-07T12:33:28.430379Z,34.0235,4878,"{'sent_time': '2025-01-07T12:33:28.362332Z', 'droneId': '657694686146', 'received_time': '2025-01-07T12:33:29.284365Z'}"
2025-01-07T12:33:28.864025Z,2025-01-07T12:33:28.926226Z,31.1005,4879,"{'sent_time': '2025-01-07T12:33:28.864025Z', 'droneId': '563981773931', 'received_time': '2025-01-07T12:33:29.780252Z'}"
2025-01-07T12:33:29.365152Z,2025-01-07T12:33:29.434795Z,34.8215,4877,"{'sent_time': '2025-01-07T12:33:29.365152Z', 'droneId': '454909120464', 'received_time': '2025-01-07T12:33:30.285423Z'}"
2025-01-07T12:33:29.867671Z,2025-01-07T12:33:29.924328Z,28.3285,4880,"{'sent_time': '2025-01-07T12:33:29.867671Z', 'droneId': '754805449852', 'received_time': '2025-01-07T12:33:30.785018Z'}"
2025-01-07T12:33:30.370226Z,2025-01-07T12:33:30.425571Z,27.6725,4879,"{'sent_time': '2025-01-07T12:33:30.370226Z', 'droneId': '670390829996', 'received_time': '2025-01-07T12:33:31.287204Z'}"
2025-01-07T12:33:30.872594Z,2025-01-07T12:33:30.924929Z,26.1675,4880,"{'sent_time': '2025-01-07T12:33:30.872594Z', 'droneId': '851192847646', 'received_time': '2025-01-07T12:33:31.789937Z'}"
2025-01-07T12:33:31.375255Z,2025-01-07T12:33:31.441626Z,33.1855,4880,"{'sent_time': '2025-01-07T12:33:31.375255Z', 'droneId': '398545258942', 'received_time': '2025-01-07T12:33:32.292842Z'}"
2025-01-07T12:33:31.878207Z,2025-01-07T12:33:31.962497Z,42.145,4880,"{'sent_time': '2025-01-07T12:33:31.878207Z', 'droneId': '259166544389', 'received_time': '2025-01-07T12:33:32.827309Z'}"
2025-01-07T12:33:32.380571Z,2025-01-07T12:33:32.446592Z,33.0105,4879,"{'sent_time': '2025-01-07T12:33:32.380571Z', 'droneId': '785690715773', 'received_time': '2025-01-07T12:33:33.297070Z'}"
2025-01-07T12:33:32.881896Z,2025-01-07T12:33:33.751763Z,434.9335,4879,"{'sent_time': '2025-01-07T12:33:32.881896Z', 'droneId': '309208675657', 'received_time': '2025-01-07T12:33:34.602827Z'}"
2025-01-07T12:33:33.384453Z,2025-01-07T12:33:33.836721Z,226.13400000000001,4879,"{'sent_time': '2025-01-07T12:33:33.384453Z', 'droneId': '178558966755', 'received_time': '2025-01-07T12:33:34.626506Z'}"
2025-01-07T12:33:33.886705Z,2025-01-07T12:33:33.943385Z,28.34,4879,"{'sent_time': '2025-01-07T12:33:33.886705Z', 'droneId': '270326067571', 'received_time': '2025-01-07T12:33:34.803746Z'}"
2025-01-07T12:33:34.388889Z,2025-01-07T12:33:34.451241Z,31.176,4880,"{'sent_time': '2025-01-07T12:33:34.388889Z', 'droneId': '146059592133', 'received_time': '2025-01-07T12:33:35.306386Z'}"
